year,sport,country,countrycode,numeric,number_of_athletes,Bronze_medal_count,Silver_medal_count,Gold_medal_count,medal_count
1948,Modern Pentathlon,Uruguay,URY,858,3,0,0,0,0
1948,Modern Pentathlon,United States,USA,840,3,0,1,0,1
1948,Rowing,Argentina,ARG,032,26,0,0,0,0
1948,Rowing,Australia,AUS,036,8,0,0,1,1
1948,Rowing,Austria,AUT,040,7,0,0,0,0
1948,Rowing,Belgium,BEL,056,4,0,0,0,0
1948,Rowing,Brazil,BRA,076,2,0,0,0,0
1948,Rowing,Canada,CAN,124,11,0,0,0,0
1948,Rowing,Switzerland,CHE,756,19,0,7,0,7
1948,Rowing,Cuba,CUB,192,5,0,0,0,0
1948,Rowing,Denmark,DNK,208,25,5,6,3,14
1948,Rowing,Egypt,EGY,818,1,0,0,0,0
1948,Rowing,Spain,ESP,724,1,0,0,0,0
1948,Rowing,Finland,FIN,246,5,0,0,0,0
1948,Rowing,France,FRA,250,22,0,0,0,0
1948,Rowing,United Kingdom,GBR,826,26,0,9,4,13
1948,Rowing,Greece,GRC,300,9,0,0,0,0
1948,Rowing,Hungary,HUN,348,14,3,0,0,3
1948,Rowing,Ireland,IRL,372,9,0,0,0,0
1948,Rowing,Italy,ITA,380,26,3,3,4,10
1948,Rowing,Netherlands,NLD,528,6,0,0,0,0
1948,Rowing,Norway,NOR,578,14,9,0,0,9
1948,Rowing,Portugal,PRT,620,14,0,0,0,0
1948,Rowing,Sweden,SWE,752,3,0,0,0,0
1948,Rowing,Uruguay,URY,858,3,2,1,0,3
1948,Rowing,United States,USA,840,26,4,0,14,18
1948,Rowing,South Africa,ZAF,710,5,0,0,0,0
1948,Sailing,Argentina,ARG,032,13,0,5,0,5
1948,Sailing,Australia,AUS,036,3,0,0,0,0
1948,Sailing,Austria,AUT,040,4,0,0,0,0
1948,Sailing,Belgium,BEL,056,12,0,0,0,0
1948,Sailing,Brazil,BRA,076,5,0,0,0,0
1948,Sailing,Canada,CAN,124,5,0,0,0,0
1948,Sailing,Switzerland,CHE,756,9,0,0,0,0
1948,Sailing,Cuba,CUB,192,2,0,2,0,2
1948,Sailing,Denmark,DNK,208,11,3,0,1,4
1948,Sailing,Spain,ESP,724,4,0,0,0,0
1948,Sailing,Finland,FIN,246,12,0,0,0,0
1948,Sailing,France,FRA,250,13,0,0,0,0
1948,Sailing,United Kingdom,GBR,826,13,0,0,2,2
1948,Sailing,Greece,GRC,300,4,0,0,0,0
1948,Sailing,Ireland,IRL,372,3,0,0,0,0
1948,Sailing,Italy,ITA,380,15,0,0,0,0
1948,Sailing,Netherlands,NLD,528,8,3,0,0,3
1948,Sailing,Norway,NOR,578,11,0,0,3,3
1948,Sailing,Portugal,PRT,620,9,0,2,0,2
1948,Sailing,Sweden,SWE,752,13,5,3,0,8
1948,Sailing,Uruguay,URY,858,3,0,0,0,0
1948,Sailing,United States,USA,840,13,2,1,7,10
1948,Sailing,South Africa,ZAF,710,1,0,0,0,0
1948,Shooting,Argentina,ARG,032,12,0,1,0,1
1948,Shooting,Australia,AUS,036,6,0,0,0,0
1948,Shooting,Austria,AUT,040,3,0,0,0,0
1948,Shooting,Belgium,BEL,056,4,0,0,0,0
1948,Shooting,Brazil,BRA,076,8,0,0,0,0
1948,Shooting,Switzerland,CHE,756,11,0,1,1,2
1948,Shooting,Chile,CHL,152,6,0,0,0,0
1948,Shooting,Cuba,CUB,192,7,0,0,0,0
1948,Shooting,Denmark,DNK,208,8,0,0,0,0
1948,Shooting,Spain,ESP,724,7,0,0,0,0
1948,Shooting,Finland,FIN,246,12,0,1,0,1
1948,Shooting,France,FRA,250,12,0,0,0,0
1948,Shooting,United Kingdom,GBR,826,12,0,0,0,0
1948,Shooting,Greece,GRC,300,9,0,0,0,0
1948,Shooting,Hungary,HUN,348,6,0,0,1,1
1948,Shooting,Iran,IRN,364,6,0,0,0,0
1948,Shooting,Italy,ITA,380,6,0,0,0,0
1948,Shooting,Lebanon,LBN,422,3,0,0,0,0
1948,Shooting,Monaco,MCO,492,4,0,0,0,0
1948,Shooting,Mexico,MEX,484,9,0,0,0,0
1948,Shooting,Netherlands,NLD,528,4,0,0,0,0
1948,Shooting,Norway,NOR,578,11,1,0,0,1
1948,Shooting,Peru,PER,604,10,0,0,1,1
1948,Shooting,Philippines,PHL,608,6,0,0,0,0
1948,Shooting,Puerto Rico,PRI,630,2,0,0,0,0
1948,Shooting,Portugal,PRT,620,8,0,0,0,0
1948,Shooting,Sweden,SWE,752,12,3,0,0,3
1948,Shooting,United States,USA,840,12,0,1,1,2
1948,Swimming,Argentina,ARG,032,29,0,0,0,0
1948,Swimming,Australia,AUS,036,14,2,2,0,4
1948,Swimming,Austria,AUT,040,2,0,0,0,0
1948,Swimming,Belgium,BEL,056,8,0,0,0,0
1948,Swimming,Bermuda,BMU,060,11,0,0,0,0
1948,Swimming,Brazil,BRA,076,21,0,0,0,0
1948,Swimming,Canada,CAN,124,23,0,0,0,0
1948,Swimming,Switzerland,CHE,756,9,0,0,0,0
1948,Swimming,China,CHN,156,1,0,0,0,0
1948,Swimming,Colombia,COL,170,4,0,0,0,0
1948,Swimming,Cuba,CUB,192,2,0,0,0,0
1948,Swimming,Denmark,DNK,208,13,0,6,2,8
1948,Swimming,Egypt,EGY,818,10,0,0,0,0
1948,Swimming,Spain,ESP,724,15,0,0,0,0
1948,Swimming,Finland,FIN,246,1,0,0,0,0
1948,Swimming,France,FRA,250,29,5,0,0,5
1948,Swimming,United Kingdom,GBR,826,35,1,0,0,1
1948,Swimming,Greece,GRC,300,2,0,0,0,0
1948,Swimming,Hungary,HUN,348,25,3,4,0,7
1948,Swimming,India,IND,356,8,0,0,0,0
1948,Swimming,Iceland,ISL,352,9,0,0,0,0
1948,Swimming,Mexico,MEX,484,15,0,0,0,0
1948,Swimming,Netherlands,NLD,528,15,5,0,1,6
1948,Swimming,Norway,NOR,578,1,0,0,0,0
1948,Swimming,New Zealand,NZL,554,1,0,0,0,0
1948,Swimming,Pakistan,PAK,586,9,0,0,0,0
1948,Swimming,Philippines,PHL,608,4,0,0,0,0
1948,Swimming,Portugal,PRT,620,1,0,0,0,0
1948,Swimming,Sweden,SWE,752,20,0,0,0,0
1948,Swimming,Uruguay,URY,858,3,0,0,0,0
1948,Swimming,United States,USA,840,39,1,6,18,25
1948,Swimming,South Africa,ZAF,710,4,0,0,0,0
1948,Water Polo,Argentina,ARG,032,7,0,0,0,0
1948,Water Polo,Australia,AUS,036,10,0,0,0,0
1948,Water Polo,Belgium,BEL,056,8,0,0,0,0
1948,Water Polo,Switzerland,CHE,756,7,0,0,0,0
